호선,역명,일시,측정값,데이터기준일자
2,강남,2024-01-10 07,37.2,2024-02-29
2,강남,2024-01-10 08,35.3,2024-02-29
2,강남,2024-01-10 09,57.8,2024-02-29
2,강남,2024-01-10 10,54.8,2024-02-29
2,강남,2024-01-10 11,44.7,2024-02-29
2,강남,2024-01-10 12,38.2,2024-02-29
2,강남,2024-01-10 13,40.4,2024-02-29
2,강남,2024-01-10 14,46.1,2024-02-29
2,강남,2024-01-10 15,48.6,2024-02-29
2,강남,2024-01-10 16,49.7,2024-02-29
2,강남,2024-01-10 17,47.8,2024-02-29
2,강남,2024-01-10 18,59.2,2024-02-29
2,강남,2024-01-10 19,61.9,2024-02-29
2,강남,2024-01-10 20,59.8,2024-02-29
2,강남,2024-01-10 21,58,2024-02-29
2,강남,2024-01-10 22,55.8,2024-02-29
2,강남,2024-01-10 23,55.3,2024-02-29
2,강남,2024-01-11 00,43.4,2024-02-29
2,강남,2024-01-11 01,70,2024-02-29
2,강남,2024-01-11 02,72.6,2024-02-29
2,강남,2024-01-11 03,61.5,2024-02-29
2,강남,2024-01-11 04,57.6,2024-02-29
2,강남,2024-01-11 05,46.9,2024-02-29
2,강남,2024-01-11 06,29.2,2024-02-29
2,강남,2024-01-11 07,45.2,2024-02-29
2,강남,2024-01-11 08,56.6,2024-02-29
2,강남,2024-01-11 09,65.7,2024-02-29
2,강남,2024-01-11 10,67.4,2024-02-29
2,강남,2024-01-11 11,53.1,2024-02-29
2,강남,2024-01-11 12,41.8,2024-02-29
2,강남,2024-01-11 13,37.3,2024-02-29
2,강남,2024-01-11 14,40.4,2024-02-29
2,강남,2024-01-11 15,45.5,2024-02-29
2,강남,2024-01-11 16,64.4,2024-02-29
2,강남,2024-01-11 17,81.6,2024-02-29
2,강남,2024-01-11 18,45.4,2024-02-29
2,강남,2024-01-11 19,54,2024-02-29
2,강남,2024-01-11 20,44.7,2024-02-29
2,강남,2024-01-11 21,36.7,2024-02-29
2,강남,2024-01-11 22,32.9,2024-02-29
2,강남,2024-01-11 23,33.6,2024-02-29
2,강남,2024-01-12 00,32.1,2024-02-29
2,강남,2024-01-12 01,51.7,2024-02-29
2,강남,2024-01-12 02,54.6,2024-02-29
2,강남,2024-01-12 03,58.9,2024-02-29
2,강남,2024-01-12 04,56.6,2024-02-29
2,강남,2024-01-12 05,52,2024-02-29
2,강남,2024-01-12 06,39.3,2024-02-29
2,강남,2024-01-12 07,52.7,2024-02-29
2,강남,2024-01-12 08,76.1,2024-02-29
2,강남,2024-01-12 09,75.3,2024-02-29
2,강남,2024-01-12 10,65.8,2024-02-29
2,강남,2024-01-12 11,47.4,2024-02-29
2,강남,2024-01-12 12,29.6,2024-02-29
2,강남,2024-01-12 13,32.7,2024-02-29
2,강남,2024-01-12 14,25.5,2024-02-29
2,강남,2024-01-12 15,21.9,2024-02-29
2,강남,2024-01-12 16,39.2,2024-02-29
2,강남,2024-01-12 17,31.4,2024-02-29
2,강남,2024-01-12 18,32.1,2024-02-29
2,강남,2024-01-12 19,37.3,2024-02-29
2,강남,2024-01-12 20,33.3,2024-02-29
2,강남,2024-01-12 21,18,2024-02-29
2,강남,2024-01-12 22,15.8,2024-02-29
2,강남,2024-01-12 23,10.6,2024-02-29
2,강남,2024-01-13 00,10.7,2024-02-29
2,강남,2024-01-13 01,24.2,2024-02-29
2,강남,2024-01-13 02,15,2024-02-29
2,강남,2024-01-13 03,9,2024-02-29
2,강남,2024-01-13 04,10.1,2024-02-29
2,강남,2024-01-13 05,9,2024-02-29
2,강남,2024-01-13 06,6.6,2024-02-29
2,강남,2024-01-13 07,19.9,2024-02-29
2,강남,2024-01-13 08,5.9,2024-02-29
2,강남,2024-01-13 09,0.3,2024-02-29
2,강남,2024-01-13 10,21.1,2024-02-29
2,강남,2024-01-13 11,30.8,2024-02-29
2,강남,2024-01-13 12,27.3,2024-02-29
2,강남,2024-01-13 13,25.9,2024-02-29
