storeNumber,countryCode,ownershipTypeCode,latitude,longitude
51430-278405,AE,LS,25.092527,55.186098
34346-97779,AE,LS,25.102801,55.162898
32117-116426,AE,LS,25.0955,55.167252
63390-293604,AE,LS,25.113535,55.139666
50249-273632,AE,LS,25.111265,55.141366
34315-87671,AE,LS,25.084243,55.15009
32457-106838,AE,LS,25.08074,55.13897
1968-136466,AE,LS,25.07641,55.140511
32571-107873,AE,LS,25.077092,55.135592
32523-106836,AE,LS,25.076871,55.133298
61822-296197,AE,LS,25.075708,55.130471
32476-106835,AE,LS,25.07181,55.12975
52330-281509,AE,LS,25.060949,55.128946
56902-289927,AE,LS,25.114172,55.138616
31002-101076,AE,LS,25.05399,55.171172
65721-299423,AE,LS,25.038868,55.165917
34336-97974,AE,LS,25.0445,55.120305
34337-97975,AE,LS,25.04449,55.120295
57960-291396,AE,LS,25.126527,55.123195
7073-204444,AE,LS,25.126962,55.119732
34335-97976,AE,LS,25.04063,55.12131
32741-141410,AE,LS,25.132344,55.118461
52493-282328,AE,LS,25.03489,55.113279
65076-299361,AE,LS,25.065267,55.214665
63122-297731,AE,LS,25.023,55.143559
26471-239345,AE,LS,25.031677,55.18999
54134-286401,AE,LS,25.051549,55.214023
48588-263631,AE,LS,25.07082,55.234026
22125-218025,AE,LS,24.997867,55.175754
55897-289052,AE,LS,25.046803,55.242369
59661-293403,AE,LS,25.042891,55.240865
4141-147544,AE,LS,25.046226,55.24268
51614-278844,AE,LS,25.053416,55.254315
34262-62540,AE,LS,24.475984,54.321883
20424-205466,AE,LS,24.464157,54.328719
63293-297804,AE,LS,24.467782,54.338382
17127-178586,AE,LS,24.46878,54.339967
29560-238539,AE,LS,24.466436,54.33966
61824-296013,AE,LS,24.467584,54.341602
57961-289928,AE,LS,24.478393,54.348226
56384-290264,AE,LS,24.453045,54.311195
32239-100001,AE,LS,24.470337,54.351749
1935-141406,AE,LS,24.479704,54.353567
18837-193244,AE,LS,24.487284,54.357749
34260-17877,AE,LS,24.490072,54.363083
32029-110804,AE,LS,24.477139,54.372518
31719-103601,AE,LS,24.47024,54.37276
51436-278404,AE,LS,24.47025,54.372777
1897-120044,AE,LS,24.489096,54.37411
1579-122101,AE,LS,24.477553,54.376484
24932-239347,AE,LS,24.462847,54.385215
53351-284987,AE,LS,24.495229,54.3834
34227-33225,AE,LS,24.495868,54.383227
63308-296293,AE,LS,24.49796,54.387872
58909-292431,AE,LS,24.500899,54.390614
57710-291170,AE,LS,24.50094,54.390603
58899-292430,AE,LS,24.500926,54.390635
57723-291169,AE,LS,24.50094,54.390646
58877-292429,AE,LS,24.500955,54.390646
52365-281711,AE,LS,24.445331,54.389461
2176-143834,AE,LS,24.450186,54.392092
18469-188844,AE,LS,24.4312,54.385902
28809-251348,AE,LS,24.496196,54.407427
28810-251346,AE,LS,24.436535,54.402578
29539-254261,AE,LS,24.435384,54.412496
49298-267850,AE,LS,24.42637,54.407987
